en_core_web_sm,fr_core_news_sm
we re all right now .,nous allons bien maintenant .
he s a carbon copy of his father .,il ressemble comme deux gouttes d eau a son pere .
you re not aiming high enough .,tu ne vises pas assez haut .
he s a lovely young man .,c est un charmant jeune homme .
i m sorry i don t buzz in people i don t know .,je suis desole je n admets pas les gens que je ne connais pas .
they are talking about what they will sing .,ils parlent de ce qu ils vont chanter .
i m going to wait in the car .,je vais attendre dans la voiture .
i m in charge of this mission .,je suis responsable de cette mission .
i m going to a monster truck rally .,je me rends a un rassemblement de camions geants .
you re very stylish .,vous etes tres elegant .
she is five years younger than me .,elle a cinq ans de moins que moi .
i m sorry for not being more supportive when you needed me to be .,je suis desole de ne pas t avoir davantage soutenu lorsque tu en avais besoin .
i am from brazil .,je viens du bresil .
i m going to stay with my uncle in kyoto .,je vais rester avec mon oncle a kyoto .
i m not intimidated .,je ne suis pas intimidee .
i m really impressed with the way tom plays the saxophone .,je suis vraiment impressionne par la facon dont tom joue du saxophone .
he is a lawyer by profession .,il fait profession d avocat .
i m a little out of practice .,je manque un peu de pratique .
i m beginning to get scared .,je commence a avoir peur .
i m not sure that that s a good idea .,je ne suis pas sure que ca soit une bonne idee .
she is giving a party tonight .,elle donne une fete ce soir .
i m going to put a curse on you .,je vais lancer sur toi une malediction .
i m looking forward to visiting your country this winter .,je me prepare a visiter votre pays cet hiver .
i m helping people to buy things online .,je suis en train d aider quelqu un a acheter des trucs en ligne .
i m gradually getting better at guessing people s ages .,j arrive de mieux en mieux a deviner l age des gens .
i m celebrating .,j arrose ca .
i am going to the swimming pool .,je vais a la piscine .
we re moving next month .,on demenage le mois prochain .
you re the teacher .,c est toi le prof .
we re going back to square one .,on retourne a la case depart .
we re old friends .,nous sommes vieux amis .
i m getting a cold .,je suis en train d attraper froid .
we re all bored .,nous nous ennuyons toutes .
i am working full time at a bookshop until the end of september .,jusqu a fin septembre je travaille a plein temps dans une librairie .
you re not allowed in this room .,vous n etes pas autorises dans cette piece .
i m not going to show you how to do it .,je ne vais pas vous montrer comment proceder .
i m proud of you guys .,je suis fier de vous les gars .
he is about to leave .,il est sur le point de sortir .
we re both moving to boston .,on demenage tous les deux a boston .
you re pessimistic .,vous etes pessimiste .
you re the one who trained me .,tu es celle qui m a entraine .
i m very relaxed .,je suis tres relax .
you re a wonderful friend .,tu es une merveilleuse amie .
i am from spain .,je viens d espagne .
they are on good terms with each other .,ils sont en bons termes l un avec l autre .
she s awesome .,elle est super .
i m too tired to think .,je suis trop fatigue pour reflechir .
i m going to make some coffee . would you like some too ?,je vais preparer du cafe . en voulez vous aussi ?
i m quite unhappy about it .,je me sens assez malheureux a ce sujet .
you re boring .,tu m ennuies .
they re not evil .,ils ne sont pas mauvais .
they are crazy about jazz .,ils sont dingues de jazz .
he s an absolute fool .,il est completement fou .
i m about the same age as you .,j ai environ le meme age que vous .
i m retired .,je suis retraitee .
we re not getting any younger .,on ne rajeunit pas .
he s fresh out of college .,il est frais emoulu de l universite .
i m not rich enough to buy that .,je ne suis pas assez riche pour acheter ca .
he is too old to try it .,il est trop vieux pour essayer ca .
i m smarter than you .,je suis plus intelligente que toi .
you re all cowards .,vous etes tous des laches .
we re done .,nous avons fini .
i m not sure anything happened .,je ne suis pas sur que quoi que ce soit ait eu lieu .
i m on our high school soccer team .,je suis dans l equipe de foot de notre lycee .
i m not hungry either .,je n ai pas faim non plus .
i m busy on monday .,je suis occupe lundi .
they are very big .,ils sont tres grands .
i m just waiting for a friend .,j attends juste une amie .
you re no help .,tu n es d aucune aide .
i m sure you would ve done the same for me .,je suis certaine que vous en auriez fait de meme pour moi .
i m addicted .,je suis accro .
i m sure everything will work out just fine .,je suis sur que tout va rouler .
i m not ready for a change yet .,je ne suis pas encore prete pour un changement .
i m pretty sure that tom doesn t have a brother .,je suis pratiquement sur que tom n a pas de frere .
we re incorrect .,nous sommes fautifs .
i m sorry i don t have my watch with me .,desole je n ai pas ma montre .
i m prudent .,je suis prudent .
i m looking for a room for rent .,je cherche une chambre a louer .
you re conceited .,vous etes suffisant .
you re going to ruin everything .,tu vas tout foutre en l air .
i m not going out in this weather .,je ne sors pas avec ce temps .
i m responsible for this .,je suis responsable de ceci .
he s good at this sort of thing .,il est bon a ce genre de choses .
i m getting tired of your complaints .,j en ai marre de tes plaintes .
i m in boston .,je suis a boston .
we are in part responsible for it .,nous en sommes en partie responsables .
you re so sweet .,vous etes tellement gentils !
i m sick of it .,j en suis malade .
i m aware of the risks .,je suis conscient des risques .
i m not too old to do that .,je ne suis pas trop vieux pour faire ca .
i m so tired that i can t walk any longer .,je suis tellement fatiguee que je ne peux plus marcher .
you re biased .,tu es partial .
i m in boston all this week .,je suis a boston toute cette semaine .
i m sorry i couldn t hear you .,je suis desole je ne pouvais pas vous entendre .
she is proficient in both spanish and italian .,elle est tres competente en espagnol et en italien .
i m pretty sure that tom doesn t have a brother .,je suis pratiquement sure que tom n a pas de frere .
you re running short of time .,tu manques de temps .
you re unqualified for that job .,vous n etes pas qualifie pour ce travail .
i m not your son .,je ne suis pas ton fils .
i m not home on sundays .,je ne suis pas a la maison les dimanches .
i am a cook .,je suis cuisinier .
she is anxious to visit europe .,elle est desireuse de visiter l europe .
we re not lost .,nous ne sommes pas perdues .
you re stronger than us .,vous etes plus forts que nous .
i m not like you .,je ne suis pas comme toi !
you re the only person that can persuade him .,tu es la seule personne qui peut le convaincre .
he isn t smart enough to add up numbers in his head .,il n a pas assez de cervelle pour faire des additions de tete .
i m engaged .,je suis fiancee .
you re conscientious .,tu es consciencieux .
you are not a child anymore .,tu n es plus un enfant .
you re normal .,tu es normal .
we re going to go .,on va y aller .
i m not interested in your opinion .,je ne suis pas interessee par ton opinion .
i m a free man .,je suis un homme libre .
he s so cute .,il est tellement mignon !
i m not interested in that .,je n y suis pas interesse .
he is the image of his father .,c est le portrait crache de son pere .
they are playing chess .,ils jouent aux echecs .
i m from america .,je viens d amerique .
i m looking for the perfect spot to hang this picture .,je cherche l emplacement ideal pour accrocher cette photo .
she is making dinner .,elle prepare le souper .
you re ambitious .,vous etes ambitieuses .
i m in no hurry .,je ne suis pas pressee .
he is quite a savage .,il est assez sauvage .
they are five in all .,ils sont cinq en tout .
i m buying a puppy .,j achete un chiot .
i am afraid he will make a mistake .,je crains qu il ne commette une erreur .
i m really embarrassed .,je suis vraiment embarrassee .
i m reformed .,je me suis amende .
you re not a millionaire .,vous n etes pas millionnaire .
i m very sad to hear that .,je suis tres triste d entendre ca .
we re up a creek without a paddle .,nous sommes dans le petrin .
we re moving out of this apartment next month .,nous demenageons de cet appartement le mois prochain .
she is anxious to meet you .,elle est tres desireuse de te rencontrer .
you re taller than i am .,tu es plus grand que moi .
i m not buying you another drink until you say sorry .,tant que tu ne te seras pas excuse je ne te paierai pas un autre verre .
we are brothers .,nous sommes freres .
you re not canadian are you ?,tu n es pas canadien n est ce pas ?
i m following the guidelines .,je suis les lignes directrices .
you re too young to be doing that .,tu es trop jeune pour faire ca .
i m glad you didn t do it .,je suis content que tu ne l aies pas fait .
i m amused .,ca m amuse .
i m not good enough for you .,je ne suis pas assez bon pour vous .
i m on my way to work .,je suis sur le chemin du travail .
i m not sure that you re ready .,je ne suis pas sure que vous soyez prete .
you re very emotional .,vous etes tres emotif .
i m delighted to meet you .,je suis ravie de vous rencontrer .
you re the best singer i know .,vous etes la meilleure chanteuse que je connaisse .
he s three years older than she is .,il est plus vieux qu elle de ans .
